tweet_id,user_id,screen_name,text,time,Fake News
9.78E+17,81189361,Funnilady,The NRA pays a lot more than that to Mark Rubio so what’s your point,3/25/2018 13:41,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,236037775,JustOneTulip,With the commienazis it is always staged phony bullsit conartits showing up for the national psychopaths party by way of #Soros funds.,3/28/2018 1:42,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,4421758576,BBeca1234,"Wow, who paid them? Democrats and Hollywood liberal?",3/26/2018 13:05,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,43378629,ta2t2o,Here’s hoping the prosecution uses your Twitter feed for your fraud case.,3/25/2018 21:03,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1965250849,PoliticalDoodle,Where's my money????,3/25/2018 13:02,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1123510417,MJustSaying4u,Exactly! And concerning too,3/26/2018 16:09,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.26E+17,awinktrump2020,"Of course they did. Does anyone really believe they put all this together themselves?? Ask them a question about guns, NRA, or 2nd amendment and I can almost guarantee 90% wouldn't get any question right",3/25/2018 12:42,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,235826599,thejohnsloman,"Dude, it was undoubtedly one of your cronies who posted that fake Craigslist ad.  Or was it you so that you could attempt to slime these noble youths?",3/25/2018 17:43,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,439004570,LisaBoopadoop,Wow,3/25/2018 17:08,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,426089511,LorettaWaldman,"Good Lord. Give it a rest, dude.",3/25/2018 17:34,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1691786624,ferlindad,"Oh my, money really talks and people can act like Robots, follow the instructions.",3/26/2018 17:29,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.22E+17,maggy_pauline,More #MarchForOurLies,3/25/2018 13:10,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
